record_id,source_id,year,site_id,longitude,latitude,cell_id,grid_join_status,grid_linked_analysis_decision
MMap:KS1:MMap8210,RUEDA_2006_ROK_1998_2004,1998,MMAP_37.98722_126.85611,126.85611111,37.98722222,r183c1227,exact_polygon_join,include
MMap:KS2-4:MMap8221,RUEDA_2006_ROK_1998_2004,1998,MMAP_37.98722_126.85611,126.85611111,37.98722222,r183c1227,exact_polygon_join,include
MMap:KS015:MMap8187,RUEDA_2006_ROK_1998_2004,1999,MMAP_36.96861_127.10611,127.10611111,36.96861111,r187c1228,exact_polygon_join,include
"MMap:KS005,006:MMap8173",RUEDA_2006_ROK_1998_2004,1999,MMAP_37.54972_126.93000,126.93,37.54972222,r184c1227,exact_polygon_join,include
MMap:KS012:MMap8179,RUEDA_2006_ROK_1998_2004,1999,MMAP_37.90417_127.08917,127.08916667,37.90416667,r183c1228,exact_polygon_join,include
"MMap:KS014(1,3):MMap8184",RUEDA_2006_ROK_1998_2004,1999,MMAP_37.90417_127.08917,127.08916667,37.90416667,r183c1228,exact_polygon_join,include
"MMap:KS008,010:MMap8177",RUEDA_2006_ROK_1998_2004,1999,MMAP_37.90417_127.08972,127.08972222,37.90416667,r183c1228,exact_polygon_join,include
MMap:KS013:MMap8182,RUEDA_2006_ROK_1998_2004,1999,MMAP_37.90417_127.08972,127.08972222,37.90416667,r183c1228,exact_polygon_join,include
MMap:KS007:MMap8175,RUEDA_2006_ROK_1998_2004,1999,MMAP_37.92639_127.07028,127.07027778,37.92638889,r183c1228,exact_polygon_join,include
MMap:KS002-004:MMap8170,RUEDA_2006_ROK_1998_2004,1999,MMAP_37.98722_126.85611,126.85611111,37.98722222,r183c1227,exact_polygon_join,include
MMap:KS10(1-6):MMap8211,RUEDA_2006_ROK_1998_2004,2001,MMAP_37.45361_126.73167,126.73166667,37.45361111,r185c1226,exact_polygon_join,include
"MMap:KS9(1-7,9-12):MMap8236",RUEDA_2006_ROK_1998_2004,2001,MMAP_37.75000_126.48333,126.48333333,37.75,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS8(1):MMap8230,RUEDA_2006_ROK_1998_2004,2001,MMAP_37.81667_126.71667,126.71666667,37.81666667,r183c1226,exact_polygon_join,include
"MMap:KS8(5,20,27,45,67,77,94,140,143,145):MMap8233",RUEDA_2006_ROK_1998_2004,2001,MMAP_37.81667_126.71667,126.71666667,37.81666667,r183c1226,exact_polygon_join,include
"MMap:KS7(5,7,9-14,16,17,19,22-25,28-30,32-40):MMap8228",RUEDA_2006_ROK_1998_2004,2001,MMAP_37.85000_126.78333,126.78333333,37.85,r183c1227,exact_polygon_join,include
"MMap:KS5-1,7(1):MMap8224",RUEDA_2006_ROK_1998_2004,2001,MMAP_37.97000_126.79972,126.79972222,37.97,r183c1227,exact_polygon_join,include
MMap:KS6:MMap8226,RUEDA_2006_ROK_1998_2004,2001,MMAP_37.97000_126.79972,126.79972222,37.97,r183c1227,exact_polygon_join,include
MMap:KS4(1):MMap8222,RUEDA_2006_ROK_1998_2004,2001,MMAP_38.14167_128.59278,128.59277778,38.14166667,r182c1234,exact_polygon_join,include
MMap:KS02-4(1-5):MMap8194,RUEDA_2006_ROK_1998_2004,2002,MMAP_35.82194_127.14889,127.14888889,35.82194444,r191c1228,exact_polygon_join,include
MMap:KS02-7(1-6):MMap8199,RUEDA_2006_ROK_1998_2004,2002,MMAP_35.97861_126.79472,126.79472222,35.97861111,r191c1227,exact_polygon_join,include
"MMap:KS02-6(1,3,5):MMap8196",RUEDA_2006_ROK_1998_2004,2002,MMAP_37.66639_127.38639,127.38638889,37.66638889,r184c1229,exact_polygon_join,include
"MMap:KS02-1(4,5,7,8),KS02-3(1,5):MMap8190",RUEDA_2006_ROK_1998_2004,2002,MMAP_37.81667_126.71667,126.71666667,37.81666667,r183c1226,exact_polygon_join,include
MMap:KS02-2(2):MMap8192,RUEDA_2006_ROK_1998_2004,2002,MMAP_37.81667_126.71667,126.71666667,37.81666667,r183c1226,exact_polygon_join,include
MMap:KS83:MMap8235,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.24000_126.54556,126.54555556,33.24,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS102:MMap8212,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.24167_126.42111,126.42111111,33.24166667,,outside_current_370_cell_grid,exclude_without_imputation
"MMap:KS80,81,135:MMap8234",RUEDA_2006_ROK_1998_2004,2003,MMAP_33.24361_126.53778,126.53777778,33.24361111,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS94:MMap8239,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.24694_126.27639,126.27638889,33.24694444,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS99:MMap8242,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.25056_126.31667,126.31666667,33.25055556,r201c1225,exact_polygon_join,include
MMap:KS105:MMap8213,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.25111_126.30306,126.30305556,33.25111111,r201c1225,exact_polygon_join,include
MMap:KS93:MMap8238,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.25111_126.30306,126.30305556,33.25111111,r201c1225,exact_polygon_join,include
MMap:KS95:MMap8240,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.25361_126.21389,126.21388889,33.25361111,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS147:MMap8220,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.26806_126.55806,126.55805556,33.26805556,r201c1226,exact_polygon_join,include
MMap:KS146:MMap8219,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.32917_126.55806,126.55805556,33.32916667,r201c1226,exact_polygon_join,include
MMap:KS140:MMap8218,RUEDA_2006_ROK_1998_2004,2003,MMAP_33.52694_126.63861,126.63861111,33.52694444,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS03-3(1-6):MMap8206,RUEDA_2006_ROK_1998_2004,2003,MMAP_34.57417_126.59750,126.5975,34.57416667,r196c1226,exact_polygon_join,include
MMap:KS59:MMap8225,RUEDA_2006_ROK_1998_2004,2003,MMAP_35.81667_128.58333,128.58333333,35.81666667,r191c1234,exact_polygon_join,include
MMap:KS51:MMap8223,RUEDA_2006_ROK_1998_2004,2003,MMAP_35.82667_128.09000,128.09,35.82666667,r191c1232,exact_polygon_join,include
MMap:KS03-4(1-8):MMap8207,RUEDA_2006_ROK_1998_2004,2003,MMAP_36.12472_127.10000,127.1,36.12472222,r190c1228,exact_polygon_join,include
MMap:KS03-4(1-8):MMap8208,RUEDA_2006_ROK_1998_2004,2003,MMAP_36.12472_127.10000,127.1,36.12472222,r190c1228,exact_polygon_join,include
"MMap:KS03-2(3-6,8):MMap8204",RUEDA_2006_ROK_1998_2004,2003,MMAP_37.68667_126.76889,126.76888889,37.68666667,r184c1227,exact_polygon_join,include
MMap:KS136:MMap8215,RUEDA_2006_ROK_1998_2004,2004,MMAP_33.28944_126.18611,126.18611111,33.28944444,,outside_current_370_cell_grid,exclude_without_imputation
MMap:KS120:MMap8214,RUEDA_2006_ROK_1998_2004,2004,MMAP_33.31278_126.18056,126.18055556,33.31277778,,outside_current_370_cell_grid,exclude_without_imputation
