record_id,source_id,source_record_id,observation_type,species,country,geography,site_id,site_name,spatial_block_id,cell_id,longitude,latitude,collection_date,year,month,value,unit,reported_individual_count,life_stage,collecting_method,sampling_effort,taxonomic_basis,molecular_method,pcr_confirmation_status,genbank_accession,presence_absence_status,license,source_url,reporting_note
MMap:KS1:MMap8210,RUEDA_2006_ROK_1998_2004,1007057,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.98722_126.85611,near Panmunjon,b+379_+1268,r183c1227,126.85611111,37.98722222,,1998,7,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1007057; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=near Panmunjon; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS2-4:MMap8221,RUEDA_2006_ROK_1998_2004,1007058,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.98722_126.85611,near Panmunjon,b+379_+1268,r183c1227,126.85611111,37.98722222,,1998,7,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1007058; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=near Panmunjon; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS015:MMap8187,RUEDA_2006_ROK_1998_2004,1006840,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_36.96861_127.10611,"Anjeong-ri, Pyeongtaek-si, Camp Humphreys",b+369_+1271,r187c1228,127.10611111,36.96861111,,1999,10,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006840; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Anjeong-ri, Pyeongtaek-si, Camp Humphreys; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
"MMap:KS005,006:MMap8173",RUEDA_2006_ROK_1998_2004,1006863,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.54972_126.93000,"Dongducheon-si, Kyungi, Korean Trng. Ctr.",b+375_+1269,r184c1227,126.93,37.54972222,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006863; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Dongducheon-si, Kyungi, Korean Trng. Ctr.; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS012:MMap8179,RUEDA_2006_ROK_1998_2004,1006987,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.90417_127.08917,"Dongducheon-si, Camp Hovey",b+379_+1270,r183c1228,127.08916667,37.90416667,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006987; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Dongducheon-si, Camp Hovey; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
"MMap:KS014(1,3):MMap8184",RUEDA_2006_ROK_1998_2004,1006993,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.90417_127.08917,"Dongducheon-si, Camp Hovey",b+379_+1270,r183c1228,127.08916667,37.90416667,,1999,9,1,presence,,Adult,"Adult, animal shed resting",not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006993; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Dongducheon-si, Camp Hovey; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
"MMap:KS008,010:MMap8177",RUEDA_2006_ROK_1998_2004,1006986,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.90417_127.08972,"Dongducheon-si, Camp Casey",b+379_+1270,r183c1228,127.08972222,37.90416667,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006986; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Dongducheon-si, Camp Casey; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS013:MMap8182,RUEDA_2006_ROK_1998_2004,1006991,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.90417_127.08972,"Dongducheon-si, Camp Casey",b+379_+1270,r183c1228,127.08972222,37.90416667,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006991; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Dongducheon-si, Camp Casey; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS007:MMap8175,RUEDA_2006_ROK_1998_2004,1007039,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.92639_127.07028,"Gunnae-myeon, Paju-si, Camp Greaves",b+379_+1270,r183c1228,127.07027778,37.92638889,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1007039; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Gunnae-myeon, Paju-si, Camp Greaves; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS002-004:MMap8170,RUEDA_2006_ROK_1998_2004,1007060,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.98722_126.85611,near Panmunjon,b+379_+1268,r183c1227,126.85611111,37.98722222,,1999,9,1,presence,,Larva,Larval collection,not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1007060; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=near Panmunjon; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
MMap:KS10(1-6):MMap8211,RUEDA_2006_ROK_1998_2004,1006855,confirmed_occurrence,Anopheles sinensis,South Korea,Gyeonggi-do,MMAP_37.45361_126.73167,"Bangchuk-dong, Gyeyang-gu, Inchon",b+374_+1267,r185c1226,126.73166667,37.45361111,,2001,9,1,presence,,Adult,"Adult, animal shed resting",not reported at record level,molecular_DNA_field_record,DNA; method detail not retained in layer,molecular_DNA_source_record,,detected; no non-detection inferred,public layer terms/reuse status require review,https://experience.arcgis.com/experience/5f95c3edfbea4634b8347fec0bd1dcd6,"ArcGIS MosquitoMap2 OBJECTID=1006855; raw source=Rueda LM et al. (2006). J Vector Ecol. 31,198-205.; locality=Bangchuk-dong, Gyeyang-gu, Inchon; Molecular occurrence record in the public layer; the layer does not preserve the specimen-level PCR protocol."
