geography,species,mean_first_suitable_month_1975-1984,mean_first_suitable_month_2015-2024,mean_last_suitable_month_1975-1984,mean_last_suitable_month_2015-2024,mean_longest_contiguous_run_1975-1984,mean_longest_contiguous_run_2015-2024,mean_suitable_months_1975-1984,mean_suitable_months_2015-2024,mean_suitable_span_months_1975-1984,mean_suitable_span_months_2015-2024,mean_suitable_months_delta_recent_minus_early,mean_first_suitable_month_delta_recent_minus_early,mean_last_suitable_month_delta_recent_minus_early,mean_suitable_span_months_delta_recent_minus_early,mean_longest_contiguous_run_delta_recent_minus_early
Japan,aegypti,6.429939,6.234037,8.706490,8.916221,2.758906,3.315537,2.798926,3.406604,2.831338,3.481904,0.607678,-0.195902,0.209730,0.650566,0.556632
Japan,albopictus,5.667797,5.344771,9.349647,9.553478,4.598759,5.076978,4.627760,5.149306,4.650705,5.198055,0.521546,-0.323026,0.203831,0.547350,0.478218
Korea-Japan,aegypti,6.405954,6.210891,8.582962,8.788623,2.722991,3.277528,2.750238,3.343292,2.772737,3.398900,0.593054,-0.195063,0.205661,0.626163,0.554537
Korea-Japan,albopictus,5.670485,5.364772,9.177927,9.393339,4.452675,4.937198,4.471488,4.985559,4.486523,5.019205,0.514071,-0.305714,0.215412,0.532683,0.484523
Korean Peninsula,aegypti,6.367166,6.172937,8.383197,8.579390,2.663368,3.214428,2.669411,3.238187,2.675454,3.261104,0.568776,-0.194230,0.196193,0.585650,0.551060
Korean Peninsula,albopictus,5.674924,5.397959,8.894378,9.127619,4.210157,4.705147,4.212059,4.713721,4.213961,4.722294,0.501661,-0.276965,0.233241,0.508333,0.494990
North Korea,aegypti,6.540069,6.454891,8.151205,8.326593,2.111849,2.597851,2.116604,2.626974,2.121359,2.656097,0.510370,-0.085178,0.175388,0.534738,0.486002
North Korea,albopictus,5.956309,5.650310,8.615122,8.823223,3.649498,4.131306,3.649965,4.146392,3.650432,4.161477,0.496427,-0.305999,0.208101,0.511045,0.481809
South Korea,aegypti,6.179484,5.829604,8.635020,8.887218,3.389459,4.026171,3.397198,4.042868,3.404936,4.057614,0.645670,-0.349880,0.252198,0.652678,0.636711
South Korea,albopictus,5.305320,5.066640,9.261184,9.527266,4.948283,5.460626,4.952073,5.460626,4.955864,5.460626,0.508552,-0.238680,0.266082,0.504762,0.512343
