geography,species,period,threshold,includes_dprk_extrapolation,uncertainty_status,mean_suitable_months,mean_suitable_months_unweighted,median_suitable_months,p25_suitable_months,p75_suitable_months,suitable_months_sd,mean_suitable_months_observed,mean_valid_months,mean_first_suitable_month,mean_last_suitable_month,mean_suitable_span_months,mean_longest_contiguous_run,share_complete_cell_years_with_any_suitable,share_suitable_area_with_any_suitable,n_total_cells,n_total_cell_years,n_complete_cell_years,n_any_suitable_cell_years,n_no_suitable_cell_years,complete_cell_year_fraction,unweighted_suitable_month_count,unweighted_suitable_span_months,unweighted_longest_contiguous_run
North Korea,aegypti,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.116604,2.103256,2.000000,1.000000,3.000000,1.356623,2.103256,12.000000,6.540069,8.151205,2.121359,2.111849,0.810233,1.000000,215,2150,2150,1742,408,1.000000,2.103256,2.107907,2.098605
North Korea,aegypti,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.346336,2.334419,2.000000,1.000000,4.000000,1.399088,2.334419,12.000000,6.426798,8.270763,2.374181,2.318492,0.833023,1.000000,215,2150,2150,1791,359,1.000000,2.334419,2.361860,2.306977
North Korea,aegypti,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.626974,2.615349,3.000000,2.000000,4.000000,1.280358,2.615349,12.000000,6.454891,8.326593,2.656097,2.597851,0.924186,1.000000,215,2150,2150,1987,163,1.000000,2.615349,2.644186,2.586512
South Korea,aegypti,1975-1984,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,3.397198,3.390968,4.000000,3.000000,4.000000,1.069283,3.390968,12.000000,6.179484,8.635020,3.404936,3.389459,0.985161,1.000000,155,1550,1550,1527,23,1.000000,3.390968,3.398710,3.383226
South Korea,aegypti,1995-2004,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,3.640054,3.633548,4.000000,3.000000,4.000000,1.093987,3.633548,12.000000,6.038907,8.705086,3.656887,3.623220,0.997419,1.000000,155,1550,1550,1546,4,1.000000,3.633548,3.650323,3.616774
South Korea,aegypti,2015-2024,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,4.042868,4.037419,4.000000,4.000000,5.000000,0.893933,4.037419,12.000000,5.829604,8.887218,4.057614,4.026171,1.000000,1.000000,155,1550,1550,1550,0,1.000000,4.037419,4.052258,4.020645
Korean Peninsula,aegypti,1975-1984,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.669411,2.642703,3.000000,2.000000,4.000000,1.397063,2.642703,12.000000,6.367166,8.383197,2.675454,2.663368,0.883514,1.000000,370,3700,3700,3269,431,1.000000,2.642703,2.648649,2.636757
Korean Peninsula,aegypti,1995-2004,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,2.904809,2.878649,3.000000,2.000000,4.000000,1.431552,2.878649,12.000000,6.242251,8.477401,2.927900,2.881717,0.901892,1.000000,370,3700,3700,3337,363,1.000000,2.878649,2.901622,2.855676
Korean Peninsula,aegypti,2015-2024,0.500000,True,descriptive_spread_only_no_per_cell_model_uncertainty,3.238187,3.211081,4.000000,2.000000,4.000000,1.333956,3.211081,12.000000,6.172937,8.579390,3.261104,3.214428,0.955946,1.000000,370,3700,3700,3537,163,1.000000,3.211081,3.234054,3.187297
Japan,aegypti,1975-1984,0.500000,False,descriptive_spread_only_no_per_cell_model_uncertainty,2.798926,2.739044,3.000000,1.000000,4.000000,1.794365,2.739044,12.000000,6.429939,8.706490,2.831338,2.758906,0.857661,1.000000,607,6070,6070,5206,864,1.000000,2.739044,2.769852,2.701153
