record_id,source_id,observation_type,species,country,geography,cell_id,longitude,latitude,collection_date,date_precision,year,month,value,unit,sampling_effort,taxonomic_basis,license,reporting_note,model_input_role,time_resolution,aggregation_level,observation_denominator,effort_hours,count_semantics,monthly_expansion,disease_endpoint
gbif_3444481220,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r183c1226,126.536127,37.754466,2007-06-30,day,2007,6,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444481220; occurrenceID=NIEK-NES-INS-005000000001118639; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r183c1226; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_1227754582,GBIF:50c9509d-22c7-4a22-a47d-8c48425ef4a7,occurrence,Aedes albopictus,South Korea,South Korea,,126.197548,36.846659,2007-07-05,day,2007,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/licenses/by/4.0/legalcode,"GBIF occurrence key=1227754582; occurrenceID=http://www.inaturalist.org/observations/2484683; datasetKey=50c9509d-22c7-4a22-a47d-8c48425ef4a7; datasetTitle=iNaturalist Research-grade Observations; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=Kim, Hyun-tae; recordedBy=Kim, Hyun-tae; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.",presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_1088898521,GBIF:50c9509d-22c7-4a22-a47d-8c48425ef4a7,occurrence,Aedes albopictus,South Korea,South Korea,r188c1225,126.447401,36.746450,2007-08-19,day,2007,8,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/licenses/by/4.0/legalcode,"GBIF occurrence key=1088898521; occurrenceID=http://www.inaturalist.org/observations/1229319; datasetKey=50c9509d-22c7-4a22-a47d-8c48425ef4a7; datasetTitle=iNaturalist Research-grade Observations; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=Kim, Hyun-tae; recordedBy=Kim, Hyun-tae; locality=not reported; exact_grid_join=r188c1225; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.",presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_1227758168,GBIF:50c9509d-22c7-4a22-a47d-8c48425ef4a7,occurrence,Aedes albopictus,South Korea,South Korea,,126.079831,36.229493,2008-06-15,day,2008,6,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/licenses/by/4.0/legalcode,"GBIF occurrence key=1227758168; occurrenceID=http://www.inaturalist.org/observations/2493585; datasetKey=50c9509d-22c7-4a22-a47d-8c48425ef4a7; datasetTitle=iNaturalist Research-grade Observations; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=Kim, Hyun-tae; recordedBy=Kim, Hyun-tae; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.",presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444137448,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r182c1234,128.573832,38.169682,2008-07-29,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444137448; occurrenceID=NIEK-NES-INS-005000000001173949; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r182c1234; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444137567,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r183c1226,126.715143,37.905811,2008-07-21,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444137567; occurrenceID=NIEK-NES-INS-005000000001176720; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r183c1226; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444140294,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r182c1227,126.869128,38.021993,2008-07-23,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444140294; occurrenceID=NIEK-NES-INS-005000000001171305; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r182c1227; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444149460,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r181c1231,127.810345,38.285191,2008-07-21,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444149460; occurrenceID=NIEK-NES-INS-005000000001175275; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r181c1231; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444441183,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,r182c1233,128.324523,38.059193,2008-07-26,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444441183; occurrenceID=NIEK-NES-INS-005000000001170852; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=r182c1233; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
gbif_3444441195,GBIF:1e09d985-8f58-4a34-ab86-17e55f203c8a,occurrence,Aedes albopictus,South Korea,South Korea,,128.514808,38.286529,2008-07-30,day,2008,7,1,presence,,"GBIF acceptedScientificName=Aedes albopictus (Skuse, 1894); source-reported human observation; GBIF taxon and occurrence fields screened",http://creativecommons.org/publicdomain/zero/1.0/legalcode,GBIF occurrence key=3444441195; occurrenceID=NIEK-NES-INS-005000000001171248; datasetKey=1e09d985-8f58-4a34-ab86-17e55f203c8a; datasetTitle=niek_2022; occurrenceStatus=PRESENT; basisOfRecord=HUMAN_OBSERVATION; identifiedBy=not reported; recordedBy=not reported; locality=not reported; exact_grid_join=no exact cell intersection; sampling effort not reported; occurrence-only presence record; not a trap-abundance denominator.,presence_only_occurrence,monthly_presence_record,source_record,not_reported,,presence_only_not_count,not_applicable,not disease risk or incidence
