geography,species,period,month_number,month,n_total_cells,n_total_cell_years,n_valid_cell_years,n_missing_cell_years,missing_fraction
North Korea,aegypti,1975-1984,1,January,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,2,February,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,3,March,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,4,April,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,5,May,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,6,June,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,7,July,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,8,August,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,9,September,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,10,October,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,11,November,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,12,December,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,1,January,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,2,February,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,3,March,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,4,April,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,5,May,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,6,June,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,7,July,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,8,August,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,9,September,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,10,October,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,11,November,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,12,December,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,1,January,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,2,February,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,3,March,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,4,April,215,2150,2150,0,0.000000
