geography,species,month_number,month,mean_suitability_1975-1984,mean_suitability_2015-2024,mean_suitability_unweighted_1975-1984,mean_suitability_unweighted_2015-2024,share_suitable_area_1975-1984,share_suitable_area_2015-2024,mean_suitability_delta_recent_minus_early,mean_suitability_unweighted_delta_recent_minus_early,share_suitable_area_delta_recent_minus_early
Korean Peninsula,aegypti,1,January,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
Korean Peninsula,aegypti,2,February,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
Korean Peninsula,aegypti,3,March,0.001000,0.001764,0.001000,0.001722,0.000000,0.000000,0.000764,0.000722,0.000000
Korean Peninsula,aegypti,4,April,0.029364,0.045545,0.028479,0.044490,0.000000,0.000000,0.016181,0.016011,0.000000
Korean Peninsula,aegypti,5,May,0.129060,0.191993,0.127274,0.189030,0.025775,0.116362,0.062933,0.061756,0.090587
Korean Peninsula,aegypti,6,June,0.436602,0.529142,0.432297,0.524075,0.575384,0.693025,0.092540,0.091778,0.117641
Korean Peninsula,aegypti,7,July,0.610559,0.680719,0.607747,0.678757,0.840112,0.926486,0.070160,0.071010,0.086373
Korean Peninsula,aegypti,8,August,0.616971,0.660923,0.613928,0.658412,0.826042,0.887207,0.043952,0.044484,0.061165
Korean Peninsula,aegypti,9,September,0.340201,0.465861,0.335222,0.460217,0.396946,0.598927,0.125659,0.124995,0.201981
Korean Peninsula,aegypti,10,October,0.068189,0.088606,0.066722,0.086705,0.005152,0.016181,0.020416,0.019983,0.011029
Korean Peninsula,aegypti,11,November,0.003560,0.007228,0.003435,0.006967,0.000000,0.000000,0.003667,0.003532,0.000000
Korean Peninsula,aegypti,12,December,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
Korean Peninsula,albopictus,1,January,0.001114,0.001200,0.001107,0.001187,0.000000,0.000000,0.000086,0.000080,0.000000
Korean Peninsula,albopictus,2,February,0.001227,0.001821,0.001214,0.001776,0.000000,0.000000,0.000594,0.000562,0.000000
Korean Peninsula,albopictus,3,March,0.007667,0.024492,0.007368,0.023690,0.000000,0.000000,0.016825,0.016322,0.000000
Korean Peninsula,albopictus,4,April,0.080270,0.110020,0.079108,0.108222,0.002284,0.038358,0.029750,0.029114,0.036075
Korean Peninsula,albopictus,5,May,0.330441,0.429460,0.325948,0.424569,0.423335,0.606275,0.099020,0.098621,0.182940
Korean Peninsula,albopictus,6,June,0.666403,0.733728,0.663236,0.731027,0.898513,0.955173,0.067324,0.067791,0.056660
Korean Peninsula,albopictus,7,July,0.758770,0.791326,0.758043,0.791147,0.997652,0.997919,0.032556,0.033104,0.000266
Korean Peninsula,albopictus,8,August,0.756013,0.772154,0.755144,0.771907,0.984499,0.988815,0.016141,0.016763,0.004317
Korean Peninsula,albopictus,9,September,0.561064,0.670673,0.555853,0.666377,0.759510,0.869873,0.109609,0.110525,0.110363
Korean Peninsula,albopictus,10,October,0.172759,0.229076,0.169262,0.224439,0.145978,0.254997,0.056317,0.055177,0.109019
Korean Peninsula,albopictus,11,November,0.030340,0.041711,0.029447,0.040512,0.000289,0.002311,0.011371,0.011066,0.002022
Korean Peninsula,albopictus,12,December,0.001909,0.001937,0.001856,0.001883,0.000000,0.000000,0.000028,0.000027,0.000000
North Korea,aegypti,1,January,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,aegypti,2,February,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,aegypti,3,March,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,aegypti,4,April,0.005799,0.020094,0.005697,0.019741,0.000000,0.000000,0.014296,0.014044,0.000000
North Korea,aegypti,5,May,0.084706,0.118443,0.084239,0.117680,0.000000,0.005244,0.033736,0.033441,0.005244
North Korea,aegypti,6,June,0.351189,0.416172,0.348744,0.413768,0.434017,0.529446,0.064983,0.065024,0.095428
North Korea,aegypti,7,July,0.550810,0.638186,0.549439,0.637288,0.747316,0.879449,0.087375,0.087849,0.132133
North Korea,aegypti,8,August,0.556367,0.601972,0.554783,0.601008,0.731642,0.808758,0.045606,0.046225,0.077116
North Korea,aegypti,9,September,0.230309,0.337685,0.228290,0.335267,0.203629,0.404078,0.107376,0.106977,0.200449
North Korea,aegypti,10,October,0.034994,0.043951,0.034481,0.043376,0.000000,0.000000,0.008957,0.008895,0.000000
North Korea,aegypti,11,November,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,aegypti,12,December,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,albopictus,1,January,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,albopictus,2,February,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
North Korea,albopictus,3,March,0.001000,0.001993,0.001000,0.001967,0.000000,0.000000,0.000993,0.000967,0.000000
North Korea,albopictus,4,April,0.055014,0.069062,0.054460,0.068565,0.000000,0.000479,0.014049,0.014105,0.000479
North Korea,albopictus,5,May,0.231301,0.327027,0.229445,0.324607,0.220750,0.424845,0.095726,0.095161,0.204096
North Korea,albopictus,6,June,0.612056,0.686505,0.609812,0.684687,0.821924,0.921123,0.074449,0.074875,0.099200
