geography,species,period,month_number,month,mean_suitability,mean_suitability_unweighted,median_suitability,p25_suitability,p75_suitability,spatial_temporal_sd,share_suitable_area,share_suitable_cells,n_total_cells,n_total_cell_years,n_valid_cell_years,n_missing_cell_years,missing_fraction
North Korea,aegypti,1975-1984,1,January,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,2,February,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,3,March,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,4,April,0.005799,0.005697,0.001000,0.001000,0.001000,0.021051,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,5,May,0.084706,0.084239,0.100000,0.100000,0.100000,0.053902,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,6,June,0.351189,0.348744,0.300000,0.100000,0.500000,0.208689,0.434017,0.428837,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,7,July,0.550810,0.549439,0.600000,0.400000,0.700000,0.214947,0.747316,0.745116,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,8,August,0.556367,0.554783,0.600000,0.400000,0.700000,0.236690,0.731642,0.728837,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,9,September,0.230309,0.228290,0.100000,0.100000,0.300000,0.193460,0.203629,0.200465,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,10,October,0.034994,0.034481,0.001000,0.001000,0.100000,0.048019,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,11,November,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1975-1984,12,December,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,1,January,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,2,February,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,3,March,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,4,April,0.013509,0.013294,0.001000,0.001000,0.001000,0.032657,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,5,May,0.103616,0.103016,0.100000,0.100000,0.100000,0.068603,0.001436,0.001395,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,6,June,0.392010,0.389721,0.400000,0.200000,0.600000,0.218100,0.499074,0.494419,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,7,July,0.583035,0.581993,0.600000,0.500000,0.700000,0.206885,0.788327,0.786977,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,8,August,0.566298,0.565062,0.600000,0.400000,0.700000,0.224648,0.747059,0.745116,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,9,September,0.278170,0.275999,0.200000,0.100000,0.500000,0.210246,0.310440,0.306512,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,10,October,0.036056,0.035589,0.001000,0.001000,0.100000,0.049041,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,11,November,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,1995-2004,12,December,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,1,January,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,2,February,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,3,March,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,4,April,0.020094,0.019741,0.001000,0.001000,0.001000,0.038792,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,5,May,0.118443,0.117680,0.100000,0.100000,0.100000,0.078835,0.005244,0.005116,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,6,June,0.416172,0.413768,0.500000,0.200000,0.600000,0.224667,0.529446,0.524651,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,7,July,0.638186,0.637288,0.600000,0.500000,0.800000,0.189641,0.879449,0.878605,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,8,August,0.601972,0.601008,0.600000,0.500000,0.800000,0.217448,0.808758,0.807442,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,9,September,0.337685,0.335267,0.300000,0.100000,0.500000,0.230492,0.404078,0.399535,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,10,October,0.043951,0.043376,0.001000,0.001000,0.100000,0.052023,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,11,November,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
North Korea,aegypti,2015-2024,12,December,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,215,2150,2150,0,0.000000
South Korea,aegypti,1975-1984,1,January,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,2,February,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,3,March,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,4,April,0.060389,0.060081,0.100000,0.001000,0.100000,0.048580,0.000000,0.000000,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,5,May,0.187453,0.186968,0.200000,0.100000,0.200000,0.113278,0.059708,0.059355,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,6,June,0.549050,0.548194,0.600000,0.500000,0.700000,0.189883,0.761497,0.759355,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,7,July,0.689220,0.688625,0.700000,0.600000,0.900000,0.163801,0.962282,0.961935,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,8,August,0.696759,0.695968,0.700000,0.600000,0.900000,0.178049,0.950322,0.949677,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,9,September,0.484878,0.483546,0.500000,0.300000,0.600000,0.216801,0.651453,0.649032,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,10,October,0.111891,0.111443,0.100000,0.100000,0.100000,0.070459,0.011935,0.011613,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,11,November,0.006931,0.006812,0.001000,0.001000,0.001000,0.023280,0.000000,0.000000,155,1550,1550,0,0.000000
South Korea,aegypti,1975-1984,12,December,0.001000,0.001000,0.001000,0.001000,0.001000,0.000000,0.000000,0.000000,155,1550,1550,0,0.000000
