geography,species,period,mean_suitable_months,mean_suitable_months_unweighted,median_suitable_months,p25_suitable_months,p75_suitable_months,suitable_months_sd,mean_suitable_months_observed,mean_valid_months,n_total_cells,n_total_cell_years,n_complete_cell_years,complete_cell_year_fraction,threshold
North Korea,aegypti,1975-1984,2.116604,2.103256,2.000000,1.000000,3.000000,1.356623,2.103256,12.000000,215,2150,2150,1.000000,0.500000
North Korea,aegypti,1995-2004,2.346336,2.334419,2.000000,1.000000,4.000000,1.399088,2.334419,12.000000,215,2150,2150,1.000000,0.500000
North Korea,aegypti,2015-2024,2.626974,2.615349,3.000000,2.000000,4.000000,1.280358,2.615349,12.000000,215,2150,2150,1.000000,0.500000
South Korea,aegypti,1975-1984,3.397198,3.390968,4.000000,3.000000,4.000000,1.069283,3.390968,12.000000,155,1550,1550,1.000000,0.500000
South Korea,aegypti,1995-2004,3.640054,3.633548,4.000000,3.000000,4.000000,1.093987,3.633548,12.000000,155,1550,1550,1.000000,0.500000
South Korea,aegypti,2015-2024,4.042868,4.037419,4.000000,4.000000,5.000000,0.893933,4.037419,12.000000,155,1550,1550,1.000000,0.500000
Korean Peninsula,aegypti,1975-1984,2.669411,2.642703,3.000000,2.000000,4.000000,1.397063,2.642703,12.000000,370,3700,3700,1.000000,0.500000
Korean Peninsula,aegypti,1995-2004,2.904809,2.878649,3.000000,2.000000,4.000000,1.431552,2.878649,12.000000,370,3700,3700,1.000000,0.500000
Korean Peninsula,aegypti,2015-2024,3.238187,3.211081,4.000000,2.000000,4.000000,1.333956,3.211081,12.000000,370,3700,3700,1.000000,0.500000
North Korea,albopictus,1975-1984,3.649965,3.638140,4.000000,3.000000,4.000000,1.100039,3.638140,12.000000,215,2150,2150,1.000000,0.500000
North Korea,albopictus,1995-2004,3.941374,3.930698,4.000000,3.000000,5.000000,1.050753,3.930698,12.000000,215,2150,2150,1.000000,0.500000
North Korea,albopictus,2015-2024,4.146392,4.135814,4.000000,4.000000,5.000000,1.033263,4.135814,12.000000,215,2150,2150,1.000000,0.500000
South Korea,albopictus,1975-1984,4.952073,4.946452,5.000000,4.000000,6.000000,0.881836,4.946452,12.000000,155,1550,1550,1.000000,0.500000
South Korea,albopictus,1995-2004,5.142495,5.136774,5.000000,5.000000,6.000000,0.907256,5.136774,12.000000,155,1550,1550,1.000000,0.500000
South Korea,albopictus,2015-2024,5.460626,5.454839,6.000000,5.000000,6.000000,0.865499,5.454839,12.000000,155,1550,1550,1.000000,0.500000
Korean Peninsula,albopictus,1975-1984,4.212059,4.186216,4.000000,3.000000,5.000000,1.202266,4.186216,12.000000,370,3700,3700,1.000000,0.500000
Korean Peninsula,albopictus,1995-2004,4.459874,4.435946,5.000000,4.000000,5.000000,1.157719,4.435946,12.000000,370,3700,3700,1.000000,0.500000
Korean Peninsula,albopictus,2015-2024,4.713721,4.688378,5.000000,4.000000,5.000000,1.165154,4.688378,12.000000,370,3700,3700,1.000000,0.500000
